,0
RID,35
VB02,34
RMED,34
RMDVL,33
AVAL,33
RMEV,33
URADL,32
URYVL,32
BAGL,32
RMEL,32
RMDVR,32
AVAR,31
ALA,31
URYDL,30
URYDR,29
URADR,29
BAGR,29
URYVR,28
AVEL,28
RMER,28
AVBR,26
AQR,26
IL2LL,25
SMDVL,24
IL2LR,24
AVBL,24
IL1LR,24
IL1LL,23
RIS,22
URXR,22
RIMR,21
AVER,21
RIML,20
RIVR,20
URXL,20
SMDVR,20
RIVL,18
ANTIcorL,17
AUAL,16
DB01,14
DB02,14
VA02,13
AUAR,12
SMDDL,12
VG_post_FWD_R,12
VG_post_turning_R,12
VG_post_turning_L,11
RIBL,11
VB01,11
VB03,11
DA01,10
ANTIcorR,10
RIBR,9
SMDDR,9
VG_post_FWD_L,9
VG_anter_FWD_no_curve_R,8
OLQVR,7
AIBR,7
OLQVL,6
VA01,5
VG_anter_FWD_no_curve_L,5
OLQDL,4
VG_middle_ramping_L,4
VG_middle_ramping_R,4
IL2VL,3
AIBL,3
URAVL,2
DD01,2
OLQDR,2
IL1DL,2
IL2DL,2
IL2DR,2
SIAVL,2
VG_middle_FWD_ramp_R,2
SIADR,2
SIAVR,2
SIADL,2
VG_middle_FWD_ramp_L,2
IL11LL,1
IL1VL,1
DA02,1
AUAL',1
IL1DR,1
IL1VR,1
SIAX,1
ABVR,1
RIB/AUA,1
IL2V,1
IL2,1
URAVR,1
AVABL,1
