,0
URADR,10
RIS,10
AVER,10
URYDL,10
AVAL,10
AVEL,10
URYVR,10
RIMR,10
AVAR,10
AVBR,10
VA02,10
RMEL,10
VA01,10
VB02,10
URYDR,10
SMDVL,10
URYVL,10
RID,10
ALA,10
DA01,10
URADL,10
RMER,10
RIVR,9
AVBL,9
URXR,9
RMDVL,9
RMDVR,9
OLQVL,9
RMED,9
RIVL,9
SIADL,9
SMDVR,9
OLQVR,9
RMEV,9
OLQDL,9
RIML,9
BAGR,9
SIADR,8
AQR,8
RIBR,8
SMDDL,8
SMDDR,8
AIBL,8
BAGL,8
IL1LR,7
URXL,7
AIBR,7
IL2LL,7
IL1LL,7
VB01,7
RIBL,7
VB03,7
OLQDR,6
SIAVL,6
AUAL,5
SIAVR,5
IL2LR,5
DB02,4
URAVR,4
AUAR,4
URAVL,3
AUAR',2
Il2LL,1
Il1LL,1
AUAL1,1
DB01,1
ANTIcorR,1
RIB',1
